,id,title,publication_date,doi,cited_by_count,language,authors,locations,journal,location_count,publication_year
0,https://openalex.org/W3013515352,COVID-19 Screening on Chest X-ray Images Using Deep Learning based Anomaly Detection,2020-03-27,,273,en,"Jianpeng Zhang, Yutong Xie, Yi Li, Chunhua Shen, Yong Xia",submittedVersion - https://europepmc.org/article/PPR/PPR346108,,1,2020
1,https://openalex.org/W3009111036,Clinical Pathology of Critical Patient with Novel Coronavirus Pneumonia (COVID-19),2020-02-27,,138,en,"Weiren Luo, Hongjie Yu, Jizhou Gou, Xiaoxing Li, Yan Sun, Jinxiu Li, Lei Liu",submittedVersion - http://rucweb.tsg211.com/https/77726476706e69737468656265737421e7e056d237226d406c0187b88b1b2c273e/manuscript/202002.0407/v1,,1,2020
2,https://openalex.org/W3016112654,The COVID-19 risk perception: A survey on socioeconomics and media attention,2020-03-21,https://doi.org/10.17632/wh9xk5mp9m.3,114,en,Toan Luu Duc Huynh,submittedVersion: Springer Nature - https://data.mendeley.com/datasets/wh9xk5mp9m/3,Economics bulletin,1,2020
3,https://openalex.org/W3077072215,Undergraduate and Graduate Students' Mental Health During the COVID-19 Pandemic,2020-08-17,,105,en,"Igor Chirikov, Krista M. Soria, Bonnie Horgos, Daniel R. Jones-White",submittedVersion - https://escholarship.org/content/qt80k5d5hw/qt80k5d5hw.pdf?t=qf0aui,,1,2020
4,https://openalex.org/W3012039349,COVID-19: The First Public Coronavirus Twitter Dataset,2020-03-16,,101,en,"Emily Chen, Kristina Lerman, Emilio Ferrara",submittedVersion - https://europepmc.org/article/PPR/PPR346005,,1,2020
5,https://openalex.org/W3008795477,Coronavirus Disease 2019 (COVID-19) During Pregnancy: A Case Series,2020-02-25,,91,en,"Weiyong Liu, Qianli Wang, Qi Zhang, Ling Chen, Junbo Chen, Bo Zhang, Yanjun Lu, Shaoshuai Wang, Liming Xia, Lu Huang, Kai Wang, Liang Lu, Yongli Zhang, Lance Turtle, D. Lissauer, Ke Lan, Ling Feng, Hongjie Yu, Yingle Liu, Ziyong Sun",submittedVersion - https://www.preprints.org/manuscript/202002.0373/v1,,1,2020
6,https://openalex.org/W3125113695,Covid-19 Coronavirus and Macroeconomic Policy,2020-03-01,,90,en,"Luca Fornaro, Martin Wolf",submittedVersion: RELX Group (Netherlands) - https://papers.ssrn.com/sol3/Delivery.cfm/DP14529.pdf?abstractid=3560337&mirid=1,Social Science Research Network,1,2020
7,https://openalex.org/W3112000122,COVID-19 and Its Impact on Society,2020-04-03,,81,en,"Jaspreet Singh, Jagandeep Singh",submittedVersion: RELX Group (Netherlands) - https://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID3567837_code3990137.pdf?abstractid=3567837&mirid=1&type=2,Social Science Research Network,1,2020
8,https://openalex.org/W3182933402,Macroeconomic Policy in the Time of COVID-19: A Primer for Developing Countries,2020-03-26,,78,en,"Norman Loayza, Steven Pennings",submittedVersion: RELX Group (Netherlands) - https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3586636,Social Science Research Network,1,2020
9,https://openalex.org/W3088427622,Impact of COVID-19 on Environment and Society,2020-05-31,,67,en,"Verma AK, Sadguru Prakash",submittedVersion: RELX Group (Netherlands) - https://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID3644567_code4266122.pdf?abstractid=3644567&mirid=1,Social Science Research Network,1,2020
10,https://openalex.org/W3125400944,Optimal Covid-19 Quarantine and Testing Policies,2020-04-01,,65,en,"Facundo Piguillem, Liyan Shi",submittedVersion: RELX Group (Netherlands) - https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3594243,Social Science Research Network,1,2020
11,https://openalex.org/W3125942575,SARS-CoV-2 Entry Genes Are Most Highly Expressed in Nasal Goblet and Ciliated Cells within Human Airways.,2020-03-13,,65,en,"Waradon Sungnak, Ni Huang, Christophe Bécavin, Marijn Berg",submittedVersion: National Institutes of Health - https://pubmed.ncbi.nlm.nih.gov/32550242,PubMed,1,2020
